t,s
0.0,3.0
0.001,3.0122502291666526
0.002,3.023867052049355
0.003,3.0348490829305486
0.004,3.0451953351610697
0.005,3.054905220843791
0.006,3.0639785502658468
0.007,3.0724155310799484
0.008,3.080216767235462
0.009,3.0873832576600586
0.01,3.0939163946929353
0.011,3.0998179622707243
0.012,3.1050901338674
0.013,3.109735470189628
0.014,3.11375691662915
0.015,3.117157800473976
0.016,3.1199418278802775
0.017,3.1221130806070505
0.018,3.1236760125157526
0.019,3.1246354458372694
0.02,3.1249965672087185
0.021,3.124764923482732
0.022,3.123946417312017
0.023,3.122547302512118
0.024,3.1205741792054624
0.025,3.118033988749895
0.026,3.1149340084550445
0.027,3.11128184609001
0.028,3.107085434185965
0.029,3.102353024137433
0.03,3.0970931801060892
0.031,3.091314772731087
0.032,3.0850269726500072
0.033,3.078239243834687
0.034,3.0709613367462403
0.035,3.063203281313762
0.036,3.054975379741267
0.037,3.0462881991475514
0.038,3.0371525640437556
0.039,3.0275795486535206
0.04,3.0175804690807118
0.041,3.007166875329798
0.042,2.9963505431840525
0.043,2.985143465946839
0.044,2.973557846051328
0.045,2.9616060865440694
0.046,2.949300782447932
0.047,2.936654712009989
0.048,2.9236808278400073
0.049,2.9103922479452544
0.05,2.896802246667421
0.051,2.8829242455274953
0.052,2.8687718039845023
0.053,2.8543586101140592
0.054,2.8396984712127553
0.055,2.824805304334414
0.056,2.809693126764328
0.057,2.794376046437595
0.058,2.778868252307733
0.059,2.7631840046717677
0.06,2.747337625458002
0.061,2.7313434884827394
0.062,2.715216009682202
0.063,2.6989696373259324
0.064,2.6826188422179724
0.065,2.6661781078920983
0.066,2.649661920807431
0.067,2.6330847605507004
0.068,2.616461090051466
0.069,2.599805345816564
0.07,2.5831319281900647
0.071,2.5664551916449687
0.072,2.5497894351128942
0.073,2.5331488923579384
0.074,2.5165477224009005
0.075,2.5
0.076,2.4835197061941976
0.077,2.4671207189151767
0.078,2.4508168036740114
0.079,2.434621604328479
0.08,2.4185486339369424
0.081,2.40261126570466
0.082,2.38682272402832
0.083,2.3711960756445434
0.084,2.355744220888019
0.085,2.340479885064867
0.086,2.325415609946765
0.087,2.310563745391277
0.088,2.2959364410937453
0.089,2.2815456384760364
0.09,2.26740306271733
0.091,2.2535202149320392
0.092,2.239908364499893
0.093,2.2265785415530654
0.094,2.213541529625173
0.095,2.20080785846684
0.096,2.18838779703243
0.097,2.1762913466424263
0.098,2.164528234325841
0.099,2.153107906346909
0.1,2.142039521920206
0.101,2.1313319471182153
0.102,2.120993748975234
0.103,2.111033189791394
0.104,2.1014582216404385
0.105,2.0922764810847676
0.106,2.0834952841011294
0.107,2.075121621220206
0.108,2.067162152883198
0.109,2.0596232050183767
0.11,2.052510764840437
0.111,2.0458304768753313
0.112,2.039587639213124
0.113,2.033787199991271
0.114,2.0284337541105653
0.115,2.023531540185847
0.116,2.019084437733431
0.117,2.0150959645970534
0.118,2.0115692746139673
0.119,2.0085071555227
0.12,2.005912027113794
0.121,2.0037859396247173
0.122,2.002130572379975
0.123,2.0009472326772824
0.124,2.0002368549205163
0.125,2.0
0.126,2.0002368549205163
0.127,2.0009472326772824
0.128,2.002130572379975
0.129,2.0037859396247173
0.13,2.005912027113794
0.131,2.0085071555227
0.132,2.0115692746139673
0.133,2.0150959645970534
0.134,2.019084437733431
0.135,2.0235315401858465
0.136,2.0284337541105653
0.137,2.033787199991271
0.138,2.039587639213124
0.139,2.0458304768753313
0.14,2.052510764840437
0.141,2.0596232050183763
0.142,2.067162152883198
0.143,2.075121621220206
0.144,2.0834952841011294
0.145,2.0922764810847676
0.146,2.1014582216404385
0.147,2.111033189791394
0.148,2.120993748975234
0.149,2.1313319471182157
0.15,2.142039521920206
0.151,2.153107906346909
0.152,2.164528234325841
0.153,2.1762913466424263
0.154,2.18838779703243
0.155,2.20080785846684
0.156,2.2135415296251724
0.157,2.226578541553065
0.158,2.239908364499893
0.159,2.2535202149320392
0.16,2.26740306271733
0.161,2.2815456384760364
0.162,2.295936441093745
0.163,2.310563745391277
0.164,2.3254156099467647
0.165,2.3404798850648665
0.166,2.3557442208880195
0.167,2.371196075644544
0.168,2.3868227240283195
0.169,2.40261126570466
0.17,2.4185486339369424
0.171,2.4346216043284787
0.172,2.4508168036740114
0.173,2.4671207189151763
0.174,2.483519706194197
0.175,2.5
0.176,2.5165477224009
0.177,2.5331488923579384
0.178,2.5497894351128947
0.179,2.5664551916449687
0.18,2.5831319281900647
0.181,2.5998053458165646
0.182,2.6164610900514655
0.183,2.6330847605507004
0.184,2.649661920807431
0.185,2.6661781078920974
0.186,2.682618842217972
0.187,2.6989696373259333
0.188,2.7152160096822016
0.189,2.7313434884827394
0.19,2.747337625458002
0.191,2.7631840046717673
0.192,2.778868252307733
0.193,2.794376046437595
0.194,2.8096931267643277
0.195,2.824805304334414
0.196,2.8396984712127553
0.197,2.8543586101140583
0.198,2.8687718039845027
0.199,2.8829242455274953
0.2,2.8968022466674204
0.201,2.9103922479452544
0.202,2.9236808278400073
0.203,2.9366547120099886
0.204,2.949300782447932
0.205,2.9616060865440694
0.206,2.9735578460513277
0.207,2.9851434659468388
0.208,2.996350543184053
0.209,3.0071668753297978
0.21,3.0175804690807118
0.211,3.0275795486535206
0.212,3.0371525640437556
0.213,3.046288199147551
0.214,3.0549753797412675
0.215,3.063203281313762
0.216,3.0709613367462403
0.217,3.078239243834687
0.218,3.0850269726500072
0.219,3.091314772731087
0.22,3.0970931801060897
0.221,3.102353024137433
0.222,3.107085434185965
0.223,3.11128184609001
0.224,3.1149340084550445
0.225,3.118033988749895
0.226,3.1205741792054624
0.227,3.1225473025121175
0.228,3.123946417312017
0.229,3.124764923482732
0.23,3.1249965672087185
0.231,3.124635445837269
0.232,3.123676012515752
0.233,3.1221130806070505
0.234,3.119941827880277
0.235,3.1171578004739757
0.236,3.11375691662915
0.237,3.109735470189628
0.238,3.1050901338674
0.239,3.0998179622707243
0.24,3.0939163946929353
0.241,3.0873832576600586
0.242,3.080216767235462
0.243,3.0724155310799484
0.244,3.0639785502658468
0.245,3.0549052208437915
0.246,3.04519533516107
0.247,3.0348490829305486
0.248,3.023867052049355
0.249,3.0122502291666526
0.25,3.0
0.251,2.9871181493999472
0.252,2.97360686116268
0.253,2.959468717590679
0.254,2.944706698801531
0.255,2.9293241817851645
0.256,2.913324939209981
0.257,2.8967131379784625
0.258,2.8794933375330323
0.259,2.8616704879130954
0.26,2.8432499275643277
0.261,2.8242373809014483
0.262,2.8046389556258857
0.263,2.784461139799861
0.264,2.763710798678598
0.265,2.7423951713025265
0.266,2.7205218668514637
0.267,2.6980988607629413
0.268,2.6751344906169896
0.269,2.6516374517898207
0.27,2.6276167928790093
0.271,2.6030819109029384
0.272,2.5780425462773664
0.273,2.5525087775721653
0.274,2.5264910160513923
0.275,2.5
0.276,2.473046788840626
0.277,2.4456427570440367
0.278,2.4177995878369316
0.279,2.3895292667109316
0.28,2.3608440747367334
0.281,2.3317565816874852
0.282,2.302279638975603
0.283,2.2724263724073612
0.284,2.2422101747596725
0.285,2.211644698183617
0.286,2.180743846439401
0.287,2.149521766967487
0.288,2.11799284280078
0.289,2.0861716843228555
0.29,2.054073120877282
0.291,2.0217121922332155
0.292,1.9891041399125309
0.293,1.9562643983838273
0.294,1.9232085861287362
0.295,1.8899524965860754
0.296,1.856512088979394
0.297,1.8229034790336132
0.298,1.789142929586494
0.299,1.7552468411007198
0.3,1.7212317420824748
0.301,1.6871142794124574
0.302,1.6529112085952926
0.303,1.6186393839333912
0.304,1.5843157486313546
0.305,1.549957324837035
0.306,1.5155812036254392
0.307,1.4812045349316811
0.308,1.4468445174392306
0.309,1.412518388429719
0.31,1.3782434136006247
0.311,1.3440368768571305
0.312,1.3099160700845038
0.313,1.2758982829073624
0.314,1.2420007924421599
0.315,1.2082408530492748
0.316,1.1746356860910825
0.317,1.1412024697023364
0.318,1.1079583285792582
0.319,1.0749203237936684
0.32,1.0421054426384857
0.321,1.0095305885109234
0.322,0.9772125708396577
0.323,0.9451680950622687
0.324,0.9134137526591479
0.325,0.8819660112501055
0.326,0.8508412047598295
0.327,0.8200555236583218
0.328,0.7896250052823879
0.329,0.759565524244195
0.33,0.7298927829329134
0.331,0.7006223021152769
0.332,0.671769411641014
0.333,0.6433492412588735
0.334,0.6153767115489681
0.335,0.5878665249771398
0.336,0.5608331570768583
0.337,0.5342908477641892
0.338,0.5082535927912168
0.339,0.4827351353432956
0.34,0.45774895778529157
0.341,0.4333082735620484
0.342,0.4094260192580581
0.343,0.3861148468213247
0.344,0.3633871159562565
0.345,0.3412548866903369
0.346,0.319729912119207
0.347,0.2988236313346775
0.348,0.2785471625401128
0.349,0.2589112963574207
0.35,0.23992648932989935
0.351,0.2216028576249296
0.352,0.20395017094048362
0.353,0.186977846619222
0.354,0.1706949439738903
0.355,0.1551101588275059
0.356,0.140231818271781
0.357,0.12606787564705213
0.358,0.11262590574681108
0.359,0.09991310024988298
0.36,0.08793626338305982
0.361,0.07670180781692126
0.362,0.06621575079738751
0.363,0.056483710515442764
0.364,0.047510902717263104
0.365,0.039302137556890715
0.366,0.03186181669341459
0.367,0.025193930634452855
0.368,0.019302056327622275
0.369,0.014189355001472004
0.37,0.009858570257250676
0.371,0.006312026412682359
0.372,0.0035516270987969722
0.373,0.0015788541106824816
0.374,0.00039476651288383735
0.375,0.0
0.376,0.00039476651288383735
0.377,0.0015788541106824816
0.378,0.00355162709879675
0.379,0.006312026412682137
0.38,0.009858570257250676
0.381,0.014189355001471782
0.382,0.019302056327622052
0.383,0.025193930634452855
0.384,0.03186181669341437
0.385,0.03930213755689094
0.386,0.047510902717263104
0.387,0.05648371051544321
0.388,0.06621575079738706
0.389,0.07670180781692082
0.39,0.0879362633830596
0.391,0.09991310024988254
0.392,0.11262590574681086
0.393,0.12606787564705169
0.394,0.14023181827178055
0.395,0.15511015882750545
0.396,0.17069494397389118
0.397,0.18697784661922157
0.398,0.20395017094048296
0.399,0.22160285762492915
0.4,0.23992648932989868
0.401,0.2589112963574203
0.402,0.27854716254011214
0.403,0.2988236313346766
0.404,0.3197299121192061
0.405,0.341254886690336
0.406,0.3633871159562556
0.407,0.3861148468213256
0.408,0.40942601925805766
0.409,0.4333082735620475
0.41,0.4577489577852907
0.411,0.4827351353432947
0.412,0.508253592791216
0.413,0.5342908477641886
0.414,0.5608331570768577
0.415,0.5878665249771391
0.416,0.6153767115489692
0.417,0.6433492412588728
0.418,0.6717694116410149
0.419,0.700622302115276
0.42,0.7298927829329127
0.421,0.7595655242441941
0.422,0.789625005282387
0.423,0.8200555236583209
0.424,0.8508412047598286
0.425,0.8819660112501047
0.426,0.913413752659147
0.427,0.9451680950622678
0.428,0.9772125708396566
0.429,1.0095305885109225
0.43,1.0421054426384848
0.431,1.0749203237936698
0.432,1.1079583285792571
0.433,1.1412024697023355
0.434,1.1746356860910825
0.435,1.208240853049275
0.436,1.2420007924421563
0.437,1.2758982829073626
0.438,1.3099160700845043
0.439,1.3440368768571282
0.44,1.378243413600626
0.441,1.4125183884297179
0.442,1.4468445174392297
0.443,1.4812045349316814
0.444,1.5155812036254392
0.445,1.5499573248370329
0.446,1.5843157486313548
0.447,1.618639383933389
0.448,1.6529112085952904
0.449,1.6871142794124587
0.45,1.7212317420824736
0.451,1.7552468411007187
0.452,1.7891429295864942
0.453,1.8229034790336134
0.454,1.8565120889793918
0.455,1.8899524965860768
0.456,1.9232085861287351
0.457,1.956264398383825
0.458,1.9891041399125302
0.459,2.0217121922332146
0.46,2.0540731208772813
0.461,2.0861716843228555
0.462,2.1179928428007804
0.463,2.149521766967485
0.464,2.1807438464394027
0.465,2.211644698183616
0.466,2.2422101747596717
0.467,2.2724263724073612
0.468,2.302279638975602
0.469,2.331756581687482
0.47,2.360844074736734
0.471,2.389529266710932
0.472,2.4177995878369294
0.473,2.4456427570440376
0.474,2.473046788840625
0.475,2.4999999999999996
0.476,2.5264910160513923
0.477,2.5525087775721653
0.478,2.578042546277365
0.479,2.603081910902939
0.48,2.6276167928790075
0.481,2.651637451789819
0.482,2.675134490616991
0.483,2.698098860762941
0.484,2.7205218668514632
0.485,2.7423951713025265
0.486,2.763710798678598
0.487,2.7844611397998595
0.488,2.804638955625886
0.489,2.824237380901447
0.49,2.8432499275643264
0.491,2.8616704879130963
0.492,2.879493337533032
0.493,2.896713137978462
0.494,2.913324939209981
0.495,2.9293241817851645
0.496,2.9447066988015296
0.497,2.9594687175906795
0.498,2.9736068611626796
0.499,2.9871181493999472
0.5,3.0
0.501,3.0122502291666526
0.502,3.023867052049355
0.503,3.0348490829305486
0.504,3.04519533516107
0.505,3.054905220843791
0.506,3.0639785502658468
0.507,3.0724155310799484
0.508,3.080216767235462
0.509,3.0873832576600586
0.51,3.0939163946929353
0.511,3.0998179622707234
0.512,3.1050901338674
0.513,3.1097354701896283
0.514,3.11375691662915
0.515,3.117157800473976
0.516,3.119941827880277
0.517,3.1221130806070505
0.518,3.1236760125157526
0.519,3.124635445837269
0.52,3.1249965672087185
0.521,3.1247649234827324
0.522,3.123946417312017
0.523,3.122547302512118
0.524,3.1205741792054624
0.525,3.118033988749895
0.526,3.114934008455045
0.527,3.11128184609001
0.528,3.107085434185965
0.529,3.1023530241374333
0.53,3.0970931801060892
0.531,3.091314772731087
0.532,3.0850269726500077
0.533,3.0782392438346875
0.534,3.0709613367462407
0.535,3.063203281313762
0.536,3.0549753797412675
0.537,3.046288199147551
0.538,3.037152564043756
0.539,3.02757954865352
0.54,3.017580469080712
0.541,3.007166875329798
0.542,2.996350543184053
0.543,2.985143465946839
0.544,2.973557846051328
0.545,2.9616060865440694
0.546,2.9493007824479314
0.547,2.9366547120099895
0.548,2.923680827840007
0.549,2.9103922479452544
0.55,2.896802246667421
0.551,2.8829242455274953
0.552,2.8687718039845027
0.553,2.85435861011406
0.554,2.839698471212755
0.555,2.824805304334414
0.556,2.8096931267643286
0.557,2.794376046437594
0.558,2.7788682523077335
0.559,2.7631840046717677
0.56,2.747337625458002
0.561,2.7313434884827394
0.562,2.715216009682203
0.563,2.6989696373259324
0.564,2.6826188422179733
0.565,2.6661781078920987
0.566,2.64966192080743
0.567,2.633084760550701
0.568,2.616461090051466
0.569,2.599805345816564
0.57,2.583131928190064
0.571,2.5664551916449696
0.572,2.549789435112894
0.573,2.5331488923579393
0.574,2.516547722400901
0.575,2.5000000000000004
0.576,2.4835197061941976
0.577,2.4671207189151767
0.578,2.4508168036740114
0.579,2.4346216043284787
0.58,2.4185486339369433
0.581,2.402611265704659
0.582,2.3868227240283204
0.583,2.3711960756445443
0.584,2.3557442208880195
0.585,2.340479885064867
0.586,2.3254156099467664
0.587,2.310563745391277
0.588,2.295936441093745
0.589,2.2815456384760373
0.59,2.2674030627173294
0.591,2.2535202149320397
0.592,2.239908364499893
0.593,2.2265785415530654
0.594,2.213541529625173
0.595,2.200807858466841
0.596,2.18838779703243
0.597,2.1762913466424267
0.598,2.1645282343258416
0.599,2.1531079063469085
0.6,2.142039521920206
0.601,2.1313319471182157
0.602,2.120993748975234
0.603,2.111033189791394
0.604,2.101458221640439
0.605,2.0922764810847676
0.606,2.08349528410113
0.607,2.075121621220206
0.608,2.067162152883198
0.609,2.0596232050183767
0.61,2.052510764840437
0.611,2.0458304768753313
0.612,2.039587639213124
0.613,2.0337871999912713
0.614,2.0284337541105653
0.615,2.023531540185847
0.616,2.019084437733431
0.617,2.0150959645970534
0.618,2.0115692746139673
0.619,2.0085071555227
0.62,2.005912027113794
0.621,2.0037859396247173
0.622,2.0021305723799756
0.623,2.0009472326772824
0.624,2.0002368549205163
0.625,2.0
0.626,2.0002368549205163
0.627,2.0009472326772824
0.628,2.002130572379975
0.629,2.0037859396247173
0.63,2.005912027113794
0.631,2.0085071555227
0.632,2.0115692746139673
0.633,2.0150959645970534
0.634,2.019084437733431
0.635,2.0235315401858465
0.636,2.0284337541105653
0.637,2.033787199991271
0.638,2.039587639213124
0.639,2.045830476875331
0.64,2.0525107648404375
0.641,2.0596232050183763
0.642,2.067162152883197
0.643,2.075121621220206
0.644,2.083495284101129
0.645,2.0922764810847676
0.646,2.101458221640438
0.647,2.111033189791394
0.648,2.1209937489752337
0.649,2.131331947118216
0.65,2.1420395219202057
0.651,2.153107906346908
0.652,2.164528234325841
0.653,2.176291346642427
0.654,2.18838779703243
0.655,2.200807858466839
0.656,2.2135415296251715
0.657,2.226578541553065
0.658,2.2399083644998936
0.659,2.253520214932039
0.66,2.267403062717329
0.661,2.281545638476037
0.662,2.295936441093744
0.663,2.310563745391275
0.664,2.3254156099467664
0.665,2.3404798850648674
0.666,2.3557442208880186
0.667,2.3711960756445425
0.668,2.3868227240283195
0.669,2.4026112657046585
0.67,2.4185486339369424
0.671,2.434621604328478
0.672,2.450816803674012
0.673,2.4671207189151763
0.674,2.483519706194196
0.675,2.4999999999999996
0.676,2.5165477224009014
0.677,2.5331488923579384
0.678,2.549789435112893
0.679,2.5664551916449687
0.68,2.5831319281900638
0.681,2.5998053458165624
0.682,2.616461090051465
0.683,2.633084760550701
0.684,2.6496619208074303
0.685,2.6661781078920965
0.686,2.6826188422179724
0.687,2.6989696373259315
0.688,2.715216009682202
0.689,2.7313434884827386
0.69,2.7473376254580026
0.691,2.763184004671767
0.692,2.778868252307732
0.693,2.794376046437592
0.694,2.809693126764329
0.695,2.824805304334414
0.696,2.8396984712127544
0.697,2.8543586101140592
0.698,2.868771803984502
0.699,2.8829242455274935
0.7,2.89680224666742
0.701,2.910392247945255
0.702,2.9236808278400073
0.703,2.936654712009988
0.704,2.94930078244793
0.705,2.9616060865440685
0.706,2.973557846051328
0.707,2.9851434659468383
0.708,2.996350543184053
0.709,3.0071668753297978
0.71,3.017580469080711
0.711,3.0275795486535193
0.712,3.037152564043756
0.713,3.0462881991475514
0.714,3.0549753797412667
0.715,3.0632032813137626
0.716,3.0709613367462403
0.717,3.0782392438346866
0.718,3.0850269726500072
0.719,3.091314772731087
0.72,3.0970931801060892
0.721,3.1023530241374324
0.722,3.107085434185964
0.723,3.1112818460900096
0.724,3.114934008455045
0.725,3.118033988749895
0.726,3.1205741792054624
0.727,3.1225473025121175
0.728,3.123946417312017
0.729,3.124764923482732
0.73,3.1249965672087185
0.731,3.124635445837269
0.732,3.1236760125157526
0.733,3.1221130806070505
0.734,3.1199418278802775
0.735,3.117157800473976
0.736,3.11375691662915
0.737,3.1097354701896274
0.738,3.1050901338674
0.739,3.0998179622707243
0.74,3.0939163946929362
0.741,3.087383257660059
0.742,3.0802167672354615
0.743,3.072415531079949
0.744,3.0639785502658476
0.745,3.054905220843791
0.746,3.04519533516107
0.747,3.03484908293055
0.748,3.023867052049354
0.749,3.012250229166652
0.75,3.0000000000000004
0.751,2.9871181493999486
0.752,2.97360686116268
0.753,2.9594687175906804
0.754,2.9447066988015305
0.755,2.9293241817851654
0.756,2.913324939209981
0.757,2.896713137978463
0.758,2.8794933375330336
0.759,2.861670487913096
0.76,2.843249927564326
0.761,2.824237380901448
0.762,2.8046389556258875
0.763,2.7844611397998604
0.764,2.7637107986785994
0.765,2.742395171302529
0.766,2.720521866851464
0.767,2.69809886076294
0.768,2.6751344906169905
0.769,2.6516374517898216
0.77,2.627616792879009
0.771,2.60308191090294
0.772,2.5780425462773664
0.773,2.5525087775721667
0.774,2.526491016051392
0.775,2.500000000000001
0.776,2.4730467888406285
0.777,2.445642757044041
0.778,2.417799587836929
0.779,2.389529266710931
0.78,2.360844074736735
0.781,2.3317565816874835
0.782,2.302279638975604
0.783,2.272426372407365
0.784,2.242210174759673
0.785,2.2116446981836155
0.786,2.180743846439402
0.787,2.1495217669674886
0.788,2.117992842800784
0.789,2.0861716843228573
0.79,2.0540731208772804
0.791,2.021712192233216
0.792,1.9891041399125293
0.793,1.9562643983838268
0.794,1.9232085861287394
0.795,1.8899524965860808
0.796,1.856512088979391
0.797,1.8229034790336125
0.798,1.7891429295864958
0.799,1.755246841100723
0.8,1.7212317420824754
0.801,1.6871142794124605
0.802,1.652911208595292
0.803,1.6186393839333881
0.804,1.5843157486313542
0.805,1.549957324837037
0.806,1.5155812036254435
0.807,1.481204534931683
0.808,1.4468445174392288
0.809,1.4125183884297194
0.81,1.3782434136006279
0.811,1.3440368768571298
0.812,1.3099160700845058
0.813,1.2758982829073666
0.814,1.2420007924421557
0.815,1.2082408530492743
0.816,1.1746356860910843
0.817,1.1412024697023395
0.818,1.107958328579259
0.819,1.074920323793671
0.82,1.0421054426384861
0.821,1.009530588510924
0.822,0.977212570839656
0.823,0.9451680950622694
0.824,0.9134137526591508
0.825,0.881966011250106
0.826,0.8508412047598279
0.827,0.8200555236583222
0.828,0.7896250052823885
0.829,0.7595655242441954
0.83,0.729892782932914
0.831,0.7006223021152795
0.832,0.6717694116410124
0.833,0.6433492412588722
0.834,0.6153767115489686
0.835,0.5878665249771422
0.836,0.560833157076859
0.837,0.5342908477641899
0.838,0.5082535927912173
0.839,0.48273513534329604
0.84,0.45774895778529023
0.841,0.4333082735620488
0.842,0.4094260192580603
0.843,0.38611484682132513
0.844,0.3633871159562554
0.845,0.3412548866903373
0.846,0.3197299121192072
0.847,0.2988236313346777
0.848,0.278547162540113
0.849,0.2589112963574225
0.85,0.2399264893298998
0.851,0.2216028576249287
0.852,0.2039501709404825
0.853,0.18697784661922356
0.854,0.17069494397389073
0.855,0.15511015882750634
0.856,0.14023181827178144
0.857,0.12606787564705257
0.858,0.11262590574681042
0.859,0.0999131002498832
0.86,0.08793626338306093
0.861,0.07670180781692215
0.862,0.06621575079738706
0.863,0.056483710515442986
0.864,0.04751090271726355
0.865,0.03930213755689094
0.866,0.03186181669341481
0.867,0.025193930634453743
0.868,0.019302056327622275
0.869,0.014189355001471782
0.87,0.009858570257250676
0.871,0.006312026412682581
0.872,0.0035516270987971943
0.873,0.0015788541106824816
0.874,0.00039476651288383735
0.875,0.0
0.876,0.00039476651288383735
0.877,0.0015788541106824816
0.878,0.00355162709879675
0.879,0.006312026412681915
0.88,0.00985857025725112
0.881,0.014189355001472226
0.882,0.01930205632762183
0.883,0.02519393063445241
0.884,0.03186181669341437
0.885,0.03930213755689027
0.886,0.04751090271726288
0.887,0.05648371051544365
0.888,0.06621575079738773
0.889,0.07670180781691993
0.89,0.08793626338305849
0.891,0.09991310024988231
0.892,0.1126259057468113
0.893,0.12606787564705146
0.894,0.14023181827178033
0.895,0.155110158827505
0.896,0.17069494397388985
0.897,0.18697784661922
0.898,0.20395017094048384
0.899,0.22160285762493004
0.9,0.23992648932989846
0.901,0.2589112963574185
0.902,0.2785471625401117
0.903,0.2988236313346764
0.904,0.3197299121192059
0.905,0.34125488669033555
0.906,0.36338711595625695
0.907,0.3861148468213236
0.908,0.40942601925805544
0.909,0.43330827356204704
0.91,0.457748957785292
0.911,0.48273513534329426
0.912,0.5082535927912155
0.913,0.5342908477641881
0.914,0.5608331570768572
0.915,0.5878665249771364
0.916,0.6153767115489668
0.917,0.6433492412588742
0.918,0.6717694116410144
0.919,0.7006223021152733
0.92,0.729892782932912
0.921,0.7595655242441937
0.922,0.7896250052823865
0.923,0.8200555236583202
0.924,0.8508412047598304
0.925,0.881966011250104
0.926,0.9134137526591442
0.927,0.9451680950622625
0.928,0.9772125708396584
0.929,1.0095305885109218
0.93,1.0421054426384841
0.931,1.0749203237936689
0.932,1.1079583285792567
0.933,1.1412024697023324
0.934,1.174635686091082
0.935,1.2082408530492768
0.936,1.242000792442158
0.937,1.2758982829073595
0.938,1.3099160700844987
0.939,1.3440368768571276
0.94,1.3782434136006254
0.941,1.4125183884297172
0.942,1.4468445174392315
0.943,1.4812045349316807
0.944,1.5155812036254364
0.945,1.5499573248370297
0.946,1.5843157486313566
0.947,1.6186393839333908
0.948,1.6529112085952897
0.949,1.6871142794124534
0.95,1.7212317420824732
0.951,1.7552468411007156
0.952,1.7891429295864936
0.953,1.8229034790336152
0.954,1.8565120889793936
0.955,1.889952496586074
0.956,1.9232085861287325
0.957,1.9562643983838246
0.958,1.9891041399125318
0.959,2.0217121922332137
0.96,2.0540731208772782
0.961,2.086171684322855
0.962,2.1179928428007773
0.963,2.1495217669674824
0.964,2.180743846439404
0.965,2.2116446981836178
0.966,2.2422101747596708
0.967,2.2724263724073586
0.968,2.3022796389756017
0.969,2.3317565816874817
0.97,2.3608440747367334
0.971,2.3895292667109334
0.972,2.417799587836931
0.973,2.4456427570440353
0.974,2.4730467888406227
0.975,2.499999999999999
0.976,2.5264910160513936
0.977,2.5525087775721653
0.978,2.5780425462773646
0.979,2.6030819109029384
0.98,2.627616792879007
0.981,2.6516374517898167
0.982,2.6751344906169923
0.983,2.6980988607629417
0.984,2.7205218668514624
0.985,2.7423951713025247
0.986,2.7637107986785976
0.987,2.784461139799859
0.988,2.8046389556258857
0.989,2.8242373809014465
0.99,2.8432499275643273
0.991,2.8616704879130945
0.992,2.87949333753303
0.993,2.8967131379784616
0.994,2.913324939209982
0.995,2.929324181785164
0.996,2.9447066988015296
0.997,2.9594687175906795
0.998,2.973606861162679
0.999,2.987118149399946
